Symbol,Date,Open,High,Low,Close,Adj Close,Volume,SMA50,SMA100,Signal,Entry/Exit,EMA 50 dias,EMA 200 dias,RSI,Variation
NVR,2000-05-26,55.5,55.5,55.12,55.12,55.12,46900,56.694799999999994,51.076899999999995,1.0,0.0,56.258324348790794,50.39277903555518,3.874999999999943,-0.006846846846846888
NVR,2000-05-30,55.19,55.75,55.0,55.75,55.75,12500,56.819799999999994,51.1756,1.0,0.0,56.238390060602924,50.446084716793436,11.13744075829382,0.011429608127721425
NVR,2000-05-31,55.75,55.75,55.0,55.0,55.0,21000,56.9098,51.2668,1.0,0.0,56.18982574450085,50.49139730667609,7.094594594594625,-0.013452914798206317
NVR,2000-06-01,55.12,55.38,54.88,55.12,55.12,7500,56.977199999999996,51.350500000000004,1.0,0.0,56.147871793736115,50.53745305486837,8.561643835616437,0.0021818181818180626
NVR,2000-06-02,55.38,55.69,55.19,55.69,55.69,18500,56.99979999999999,51.433600000000006,1.0,0.0,56.12991603711902,50.58872217870053,14.14790996784565,0.010341074020319363
NVR,2000-06-05,55.94,56.38,55.88,56.31,56.31,9200,57.0436,51.5217,1.0,0.0,56.13697815331043,50.645650316225904,19.497487437185953,0.011133057999640927
NVR,2000-06-06,56.25,56.75,56.12,56.75,56.75,5400,57.102399999999996,51.61109999999999,1.0,0.0,56.161018225729634,50.7063901140744,23.919597989949764,0.00781388740898592
NVR,2000-06-07,56.75,57.0,56.38,56.56,56.56,14400,57.1712,51.6879,1.0,0.0,56.17666456981867,50.76463498856123,23.919597989949764,-0.0033480176211453383
NVR,2000-06-08,56.81,56.81,56.56,56.69,56.69,4000,57.2638,51.7667,1.0,0.0,56.19679537100225,50.82359384439644,26.20041753653443,0.002298444130127253
NVR,2000-06-09,56.38,56.5,55.5,55.5,55.5,32900,57.337599999999995,51.8442,1.0,0.0,56.1694700623355,50.87012524892981,25.69089048106447,-0.020991356500264513
NVR,2000-06-12,55.0,55.12,54.75,54.81,54.81,109900,57.35379999999999,51.91480000000001,1.0,0.0,56.11615751087136,50.90932798277131,26.702127659574472,-0.012432432432432416
NVR,2000-06-13,54.69,55.38,54.25,55.38,55.38,10600,57.38139999999999,51.98610000000001,1.0,0.0,56.087288588876405,50.953812281450205,38.07169344870209,0.010399562123700079
NVR,2000-06-14,55.62,55.88,55.5,55.62,55.62,7000,57.40879999999999,52.0567,1.0,0.0,56.06896354617537,51.00024200999299,42.025316455696164,0.004333694474539351
NVR,2000-06-15,55.62,56.38,55.5,56.25,56.25,13200,57.445,52.1317,1.0,0.0,56.0760630149528,51.05247840790351,50.0,0.011326860841424091
NVR,2000-06-16,56.0,56.25,55.38,55.38,55.38,20200,57.455,52.193000000000005,1.0,0.0,56.048766426131124,51.09553832424278,49.25187032418954,-0.015466666666666629
NVR,2000-06-19,55.25,55.88,55.0,55.88,55.88,19400,57.4564,52.26559999999999,1.0,0.0,56.04214813491029,51.14314490808116,54.6683046683047,0.009028530155290815
NVR,2000-06-20,55.94,55.94,55.12,55.12,55.12,11600,57.4412,52.345600000000005,1.0,0.0,56.00598546295303,51.182715605513195,46.19105199516322,-0.013600572655690812
NVR,2000-06-21,55.25,55.31,55.0,55.06,55.06,3000,57.434799999999996,52.4324,1.0,0.0,55.96888799381762,51.22129554973694,50.39577836411611,-0.0010885341074019506
NVR,2000-06-22,55.06,55.31,54.25,54.25,54.25,14300,57.419799999999995,52.5224,1.0,0.0,55.90148062151104,51.25143191242613,44.74002418379686,-0.01471122411914283
NVR,2000-06-23,54.12,54.62,53.88,54.5,54.5,10000,57.413599999999995,52.618599999999994,1.0,0.0,55.84652059713807,51.283755972999,42.515723270440255,0.004608294930875667
NVR,2000-06-26,54.38,55.38,54.38,55.25,55.25,16500,57.42359999999999,52.7249,1.0,0.0,55.82312763254442,51.323221087695536,43.44059405940591,0.013761467889908285
NVR,2000-06-27,55.38,56.62,55.31,56.44,56.44,15500,57.4762,52.8455,1.0,0.0,55.84731870577797,51.37413431070354,48.24462061155152,0.021538461538461506
NVR,2000-06-28,56.38,57.75,55.88,57.75,57.75,23700,57.5762,52.96990000000001,1.0,0.0,55.92193365849256,51.43757576034828,55.97989949748743,0.023210489014883207
NVR,2000-06-29,57.75,59.0,57.75,58.62,58.62,21800,57.693599999999996,53.097300000000004,1.0,0.0,56.027740181688934,51.50904266820551,59.02712815715623,0.015064935064935003
NVR,2000-06-30,58.38,60.25,57.0,57.0,57.0,86900,57.7774,53.2085,1.0,0.0,56.065868017701135,51.56367905956665,56.74460431654677,-0.02763561924257929
NVR,2000-07-03,57.0,57.38,57.0,57.38,57.38,3100,57.8612,53.3404,1.0,0.0,56.11740260524227,51.62155289976997,61.88714153561518,0.006666666666666821
NVR,2000-07-05,57.5,58.38,57.5,57.88,57.88,8100,57.946400000000004,53.49669999999999,1.0,0.0,56.18652407170336,51.6838260052449,61.638733705772815,0.008713837574067629
NVR,2000-07-06,57.88,59.0,57.75,59.0,59.0,13700,58.056400000000004,53.66169999999999,1.0,0.0,56.29685646104833,51.756623756436504,64.54388984509468,0.01935038009675183
NVR,2000-07-07,59.0,61.38,59.0,60.94,60.94,25500,58.095200000000006,53.843599999999995,1.0,0.0,56.47894052139937,51.84800063448191,68.13611755607116,0.03288135593220343
NVR,2000-07-10,60.94,60.94,60.12,60.12,60.12,10700,58.1176,54.011,1.0,0.0,56.62172716761901,51.930309085880104,68.40062111801241,-0.013455858221201211
NVR,2000-07-11,59.88,59.94,59.62,59.88,59.88,6000,58.0752,54.17100000000001,1.0,0.0,56.74950257281042,52.00941048801065,65.84786053882726,-0.003992015968063756
NVR,2000-07-12,59.62,59.75,59.38,59.38,59.38,13800,57.997800000000005,54.323600000000006,1.0,0.0,56.85265933466099,52.08274968713493,67.23300970873791,-0.008350033400133627
NVR,2000-07-13,59.25,59.75,59.12,59.69,59.69,36000,57.9516,54.4886,1.0,0.0,56.96392759604684,52.15844372009877,68.3584456780333,0.005220613001010399
NVR,2000-07-14,59.81,59.81,59.5,59.75,59.75,3700,57.9266,54.65729999999999,1.0,0.0,57.073185337378334,52.23398159353062,73.18718381112988,0.0010051934997488132
NVR,2000-07-17,60.0,60.38,59.75,59.81,59.81,14200,57.8904,54.8204,1.0,0.0,57.180511402579185,52.30936486125669,72.75064267352188,0.0010041841004184704
NVR,2000-07-18,59.94,60.25,59.75,59.75,59.75,16700,57.8354,54.9717,1.0,0.0,57.28127566130157,52.38340103179145,70.49180327868854,-0.0010031767263000146
NVR,2000-07-19,59.62,60.12,59.38,60.0,60.0,7600,57.7892,55.130500000000005,1.0,0.0,57.38789230203484,52.45918808620149,67.72908366533866,0.004184100418409997
NVR,2000-07-20,60.25,61.81,60.25,61.81,61.81,12700,57.773,55.3074,1.0,0.0,57.56130829019034,52.552230990816405,69.25996204933588,0.030166666666666675
NVR,2000-07-21,61.88,61.88,61.38,61.38,61.38,7400,57.75299999999999,55.48,1.0,0.0,57.71106090626131,52.640069488420224,63.6633663366337,-0.00695680310629343
NVR,2000-07-24,61.5,61.5,61.12,61.12,61.12,8700,57.72780000000001,55.6474,1.0,0.0,57.84474479229028,52.7244469064459,73.56979405034323,-0.004235907461713984
NVR,2000-07-25,61.38,61.88,59.88,59.88,59.88,36700,57.677800000000005,55.8012,1.0,0.0,57.92455872200439,52.79564643971509,63.02083333333334,-0.020287958115183136
NVR,2000-07-26,60.0,60.0,59.0,59.0,59.0,15200,57.619,55.949299999999994,1.0,0.0,57.96673288976893,52.857381301011465,55.61122244488977,-0.014696058784235189
NVR,2000-07-27,59.0,59.31,58.75,59.25,59.25,15700,57.568999999999996,56.0956,1.0,0.0,58.01705709017015,52.92098944727006,51.37211855104282,0.004237288135593209
NVR,2000-07-28,59.38,60.0,59.19,59.94,59.94,3900,57.5428,56.2512,1.0,0.0,58.09246661604583,52.99083034829225,43.63867684478371,0.011645569620253093
NVR,2000-07-31,60.0,61.62,59.75,61.62,61.62,16300,57.57020000000001,56.4262,1.0,0.0,58.23080125855384,53.07669273288636,58.60091743119266,0.028028028028028062
NVR,2000-08-01,61.38,62.38,61.38,62.12,62.12,13300,57.6288,56.5999,1.0,0.0,58.38331885625761,53.16667588977307,62.4721603563474,0.008114248620577635
NVR,2000-08-02,62.19,64.0,61.88,63.75,63.75,13300,57.757600000000004,56.791199999999996,1.0,0.0,58.59377694032594,53.27198259733751,71.61226508407515,0.026239536381197803
NVR,2000-08-03,63.5,64.56,63.5,64.0,64.0,12100,57.9,56.9874,1.0,0.0,58.805785687764136,53.37872903915505,71.44278606965173,0.0039215686274509665
NVR,2000-08-04,64.25,67.0,64.0,66.38,66.38,38100,58.1026,57.205600000000004,1.0,0.0,59.10281370000868,53.50809491936246,76.79870654810021,0.03718749999999993
NVR,2000-08-07,66.12,72.88,66.12,72.5,72.5,89200,58.4426,57.485,1.0,0.0,59.628193554910304,53.69706909926931,84.42756375474767,0.09219644471226274
NVR,2000-08-08,72.5,72.62,71.88,72.62,72.62,15500,58.7926,57.7437,1.0,0.0,60.1376761606001,53.88535696892832,84.80259599783666,0.0016551724137932045
NVR,2000-08-09,72.38,72.38,70.75,70.75,70.75,28600,59.092600000000004,57.956199999999995,1.0,0.0,60.55384572292951,54.05316436227232,76.72799602187965,-0.025750481960892357
NVR,2000-08-10,70.5,70.5,67.0,69.5,69.5,49500,59.382600000000004,58.1462,1.0,0.0,60.904675302422476,54.20686421936414,69.66751918158566,-0.017667844522968212
NVR,2000-08-11,69.25,72.0,69.25,72.0,72.0,22000,59.720200000000006,58.3487,1.0,0.0,61.33978607487649,54.38391034653465,74.56059204440331,0.03597122302158273
NVR,2000-08-14,72.0,74.25,72.0,73.94,73.94,45000,60.08520000000001,58.5425,1.0,0.0,61.83391211115585,54.578498303285556,77.5107296137339,0.026944444444444438
NVR,2000-08-15,73.81,73.81,70.62,70.62,70.62,43600,60.3714,58.7075,1.0,0.0,62.17846457738503,54.738115235591174,71.15839243498817,-0.04490127130105481
NVR,2000-08-16,71.0,71.25,70.75,71.0,71.0,5000,60.656400000000005,58.8794,1.0,0.0,62.52440714297777,54.89992503424201,74.11575562700965,0.005380911922967968
NVR,2000-08-17,70.75,71.0,70.38,70.62,70.62,7400,60.9376,59.05440000000001,1.0,0.0,62.841881372664915,55.056343690617716,72.73090763694523,-0.0053521126760562865
NVR,2000-08-18,70.75,71.0,70.25,71.0,71.0,5400,61.223800000000004,59.2438,1.0,0.0,63.16180759334472,55.21498703697973,72.38866396761135,0.005380911922967968
NVR,2000-08-21,71.25,72.0,71.25,71.81,71.81,10800,61.55,59.4438,1.0,0.0,63.50095239360571,55.38011154407446,71.38061267310115,0.011408450704225359
NVR,2000-08-22,71.81,71.81,71.12,71.12,71.12,6600,61.87620000000001,59.615,1.0,0.0,63.79973857424862,55.53672734960606,68.73438800999169,-0.009608689597549014
NVR,2000-08-23,71.12,71.25,69.75,69.75,69.75,35800,62.1636,59.7725,1.0,0.0,64.0330821595722,55.67815294811744,62.62626262626263,-0.019263217097862828
NVR,2000-08-24,70.0,70.88,70.0,70.12,70.12,8900,62.45360000000001,59.9312,1.0,0.0,64.27178481998114,55.821852918782945,62.8140703517588,0.00530465949820802
NVR,2000-08-25,70.19,70.19,69.62,69.62,69.62,20100,62.721000000000004,60.083,1.0,0.0,64.48151874860933,55.959147914615954,57.36363636363638,-0.00713063320022822
NVR,2000-08-28,69.88,70.38,69.88,70.12,70.12,14200,63.0158,60.2354,1.0,0.0,64.70263566042857,56.10005191546555,42.73504273504275,0.007181844297615703
